INCIDENT_ID,YEAR_MONTH,LOCATION,DA_LEGAL_REVIEW,NARRATIVE,ObjectID,YR,MN,Latitude,Longitude,CreationDate,Creator,EditDate,Editor
7307,2008-08,"ORVIS STREET, CHARLOTTE 28216",Legally Justified,"Officers served a high risk search warrant. Upon making entry, a male inside the house fired a pistol at an officer.  The officer returned fire with his service pistol, striking the individual.",1,2008,8,35.2526941601,-80.8497010414,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
7699,2008-11,"N TRYON STREET, CHARLOTTE  28213",Legally Justified,"Officers attempted to make a traffic stop, but the driver refused to stop. After several attempts to make a traffic stop, the individual pulled into gas station parking lot.  While officers approached the vehicle, the individual climbed over the seat and jumped out the passenger side of the vehicle.  The individual then fired shots at officers.  Officers returned fire, striking the individual.",2,2008,11,35.2580411017,-80.7842380302,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
9687,2010-03,"E W.T. HARRIS BOULEVARD, CHARLOTTE 28227",No DA review,An officer was circulating an apartment complex and received information from a witness of two robbery suspects who had just committed a home invasion. The officer located the individuals and gave verbal commands for them to stop.  A  foot pursuit ensued.  One of the individuals pointed a gun at the officer and the officer discharged his service weapon.,3,2010,3,35.1982854647,-80.7263528374,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
10386,2010-07,"BARRINGTON DRIVE, CHARLOTTE 28278",Legally Justified,Officers observed a large crowd of individuals in an apartment complex parking lot. One of the individuals threw something underneath a parked vehicle. Officers attempted to detain the individual and he ran from the officers. The individual then ran towards an officer with a handgun in his hand.  The officer immediately ordered the suspect to drop the gun twice.  The suspect failed to drop the handgun and the officer drew his service weapon and fired at the individual.,4,2010,7,35.2364618415,-80.7432228868,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
10392,2010-07,"PARK ROAD, CHARLOTTE 28209",Legally Justified,"Officers responded to a robbery from business call for service. The individual was in the restaurant and fled the scene on foot when officers arrived. The officer located the individual in the parking lot and observed a revolver in his hand. The officer gave verbal commands to the individual to drop the gun. The officer fired  his service pistol, striking the individual.",5,2010,7,35.1733500207,-80.8512840502,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
10484,2010-08,"SOMERDALE LANE, CHARLOTTE 28205",No DA review,"Officers responded to a call for service for a domestic dispute between a mother and son.  The son was intoxicated and armed with a weapon. Upon the officer's arrival, the individual shot at the officers and several officers returned fire until the individual was apprehended.",6,2010,8,35.2274098004,-80.7576447066,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
10789,2010-10,"BRANDIE GLEN ROAD, CHARLOTTE 28269",Legally Justified,"Officers responded to a stabbing call for service. Shortly after arrival, the officer observed an individual brandishing a large knife.  After several commands to drop the knife, the subject refused.  The officer discharged his weapon, striking the individual.",7,2010,10,35.3141508718,-80.8219327572,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
10973,2010-10,"HOLLYDAY COURT, CHARLOTTE 28210",Legally Justified,"Officer responded to a 911 call regarding a man outside of his house cursing and honking his car horn. Officer arrived and encountered the individual on the lawn outside his residence.  One officer saw that the individual was armed with a handgun and ordered him to drop it.  The man refused, then raised the weapon and fired five shots at the officer.  The officer returned fire with his service pistol, and the individual retreated inside his residence.",8,2010,10,35.1686449363,-80.8627469696,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
10974,2010-11,"SNOW WHITE LANE, CHARLOTTE 28208",Legally Justified,"Officers responded to a suicide attempt call at a residence and found the individual in his residence pointing a gun to his own head. After a short standoff with officers, the individual came out of his house and pointed a large silver revolver at an officer. The officer then fired rounds from his service weapon, striking the individual.",9,2010,11,35.2698476708,-80.7795207465,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
11493,2011-03,"GARIBALDI AVENUE, CHARLOTTE 28208",Legally Justified,"The officer responded to a residence to assist with establishing a perimeter to apprehend a possible robbery suspect.  The individual appeared between two houses and the officer gave him verbal commands to stop.  The individual ignored the commands of the officer and discharged a firearm at the officer.  The individual fired five rounds, striking the officer.  The officer returned fire.",10,2011,3,35.233936993,-80.8809642526,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
12277,2011-09,"CENTRAL AVENUE, CHARLOTTE 28210",Legally Justified,"Officer answered a 911 call and confronted a group suspected of robbery.  Officer 1 gave chase to one of the suspects and a struggle ensued. Officer 1's secondary weapon fell out of its holster and a Hispanic male picked it up and pointed it at one of the suspects. Officer 1 and Officer 2 gave loud verbal commands for the male to drop the gun, but he would not comply and turned and pointed it at Officer 2 and was shot by Officer 2.",11,2011,9,35.2117777605,-80.7614796385,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
13080,2012-03,"S TRYON STREET, CHARLOTTE 28203",Legally Justified,"Officers responded to a suicide attempt call for service. The call for service advised that an individual had been walking down the middle of the street.  Upon arrival, officers located the individual and gave verbal commands for him to get on his knees so he could be secured. The individual refused to comply with the officers' verbal commands and was belligerent. The individual into his jacket.  Simultaneously, one officer deployed his Taser at the individual and the other officer discharged a shotgun at the individual.",12,2012,3,35.2183375193,-80.8539675172,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
13634,2012-07,"CRESTVIEW DRIVE, CHARLOTTE 28216",Legally Justified,"An individual matching the description of an armed robbery suspect was operating a red scooter.  Officers initiated a traffic stop, but the driver refused to stop.  The officers initiated a vehicle pursuit. The individual continued to flee from officers until arriving at his residence, where they attempted to take him into custody. During the struggle, the individual produced a handgun and one of the officers discharged his firearm.",13,2012,7,35.2502543967,-80.8616692141,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
14477,2013-01,"COOPER DRIVE, CHARLOTTE 28208",Legally Justified,"Officers were dispatched to a domestic call for service.  During the call for service, the individual was found to be in possession of a box cutter knife and was holding it to his own throat. Officer 1 deployed his Taser, but it did not make full contact to affect him. The individual then came at Officer 2 in an aggressive manner with the knife raised in his hand. When the individual would not stop or drop the knife, officer 2 discharged his firearm at the individual.",14,2013,1,35.1657755096,-80.8723733214,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
