INCIDENT_ID,INDIVIDUAL_RACE,INDIVIDUAL_GENDER,INDIVIDUAL_AGE,INDIVIDUAL_INJURY_TYPE,ObjectID,YR,Latitude,Longitude,CreationDate,Creator,EditDate,Editor
1649,Black,Male,33,Miss,1,2005,35.2244962607,-80.8965036803,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
1739,White,Male,25,Non-Fatal Injury,2,2005,35.2269911614,-80.7292989433,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
1953,White,Male,67,Fatal Injury,3,2005,35.1990251245,-80.7562857781,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
2421,Black,Male,25,Miss,4,2005,35.2193387,-80.8763673828,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
1875,Black,Male,19,Miss,5,2005,35.1443632594,-80.8617739727,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
2596,Black,Male,25,Miss,6,2005,35.2054231072,-80.7590955842,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
21268,Hispanic,Male,,Fatal Injury,7,2017,35.2030182355,-80.7405017839,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
22155,Black,Male,28,Non-Fatal Injury,8,2017,35.2673453,-80.848407399,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
22525,White,Male,,Non-Fatal Injury,9,2017,35.1967479,-80.791135199,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20897,Hispanic,Male,31,Non-Fatal Injury,10,2016,35.1789781446,-80.8834948368,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
22665,White,Male,27,Fatal Injury,11,2018,35.245948,-80.91034,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
3095,Black,Male,27,Miss,12,2006,35.1967587252,-80.7264610986,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
3750,Black,Male,36,Fatal Injury,13,2006,35.3076356115,-80.8456732385,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
3490,Black,Male,33,Non-Fatal Injury,14,2006,35.3284931864,-80.7833387904,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
3932,Black,Male,26,Non-Fatal Injury,15,2006,35.2668892681,-80.9216006271,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
3908,White,Male,41,Fatal Injury,16,2006,35.2031537408,-80.7440670771,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
4392,Black,Male,42,Fatal Injury,17,2006,35.2801836787,-80.8163096331,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
4925,Black,Male,17,Non-Fatal Injury,18,2007,35.1965504219,-80.7680738134,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
5822,Black,Male,33,Non-Fatal Injury,19,2007,35.1831188704,-80.7647899018,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
5954,Black,Male,16,Fatal Injury,20,2007,35.2033806767,-80.7555426372,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
6740,White,Male,29,Non-Fatal Injury,21,2008,35.2888832311,-80.836590504,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
