dept,city,state,address_or_intersection,charge_code,cross_street,date,encounter_type,incident_id,incident_reason,latitude,longitude,number_of_suspects,number_officers_involved,officer_age,officer_death,officer_ethnicity,officer_gender,officer_id,officer_injured,officer_injuries_detail,officer_race,officer_yrs_experience,reason_for_force,reason_for_force_detailed,search_conducted,search_conducted_person,search_conducted_vehicle,search_reason,subject_age,subject_death,subject_description,subject_gender,subject_id,subject_injured,subject_injuries_detail,subject_priors,subject_race,subject_weapon_possessed,suspected_crime_type,suspected_crime_type_detailed,type_of_force_used,weapon_or_tool_used
11-00091,Boston,MA,63 SUMMER ST,,,2011-07-25 00:00:00,IOF,768967,RADIO CALL,,,,,16,,,,106712,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, E COTTAGE ST at CLIFTON ST,,,2014-07-13 00:00:00,IOF,954870,RADIO CALL,,,,,19,,,,131259,,,NO DATA ENTERED,,,,,,,,,,,MALE,,,,,NO DATA ENTERED,,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, SURFACE RD,,,2013-10-10 00:00:00,IO,930792,RADIO CALL,,,,,29,,,,81127,,,W(White),,,,P,,,PROBABLE CAUSE,,,,FEMALE,,,,YES,W(White),,"ROBBERY, UNARMED PERSON",,,
11-00091,Boston,MA, DORCHESTER AV at BAILEY ST,,,2012-10-15 00:00:00,IOFS,898178,,,,,,18,,,,99722,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"DANGEROUS WEAPON, POSSESSION",,,
11-00091,Boston,MA,1250  DORCHESTER AV,,,2013-01-12 00:00:00,IOF,906917,RADIO CALL,,,,,17,,,,98665,,,B(Black),,,,,,,,,,,MALE,,,,NO,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, MORTON ST at W SELDEN ST,,,2013-01-31 00:00:00,IO,907656,,,,,,18,,,,103761,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,0 HARRISON AV at ESSEX ST,,,2013-04-25 00:00:00,IO,915940,INVESTIGATIVE,,,,,49,,,,54335,,,W(White),,,,,,,REASONABLE SUSPICION,,,,FEMALE,,,,YES,W(White),,"DRUGS, INVESTIGATION",,,
11-00091,Boston,MA,125A QUINCY ST,,,2014-02-27 00:00:00,IO,942184,OTHER (SPECIFY),,,,,18,,,,74876,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,00 WARREN AV,,,2014-09-11 00:00:00,IOFS,962198,INVESTIGATIVE,,,,,18,,,,75413,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"FIREARM, CARRYING",,,
11-00091,Boston,MA, WASHINGTON ST at W NEWTON ST,,,2014-05-23 00:00:00,IOF,955054,MOTOR VEHICLE VIOLATION,,,,,34,,,,50679,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, MV",,,
11-00091,Boston,MA,00 SEAVER ST at BLUE HILL AV,,,2012-08-03 00:00:00,IO,899563,MOTOR VEHICLE VIOLATION,,,,,30,,,,92675,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA,12 CROWLEY ROGERS WY,,,2011-01-10 00:00:00,IO,814880,RADIO CALL,,,,,40,,,,11611,,,H(Hispanic),,,,,,,,,,,MALE,,,,YES,H(Hispanic),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, LINDEN ST at DORCHESTER AV,,,2014-06-30 00:00:00,O,958497,INVESTIGATIVE,,,,,35,,,,126558,,,H(Hispanic),,,,,,,,,,,FEMALE,,,,YES,H(Hispanic),,"PROSTITUTION, COMMON NIGHT WALKER",,,
11-00091,Boston,MA,0 ROGERS ST,,,2013-05-07 00:00:00,O,916347,,,,,,35,,,,102400,,,W(White),,,,,,,,,,,FEMALE,,,,YES,W(White),,"PROSTITUTION, COMMON NIGHT WALKER",,,
11-00091,Boston,MA,65 BAY ST,,,2011-05-26 00:00:00,I,886876,RADIO CALL,,,,,27,,,,99788,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,128 TREMONT ST,,,2014-05-09 00:00:00,IO,949358,,,,,,29,,,,106668,,,B(Black),,,,,,,,,,,MALE,,,,,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,37 HOLWORTHY ST,,,2010-01-11 00:00:00,OF,861188,INVESTIGATIVE,,,,,28,,,,103767,,,B(Black),,,,,,,REASONABLE SUSPICION,,,,MALE,,,,,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, ADAMS ST at DORCHESTER AV,,,2014-11-12 00:00:00,IO,970252,INVESTIGATIVE,,,,,29,,,,52976,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, WARREN ST at WOODBINE ST,,,2012-08-24 00:00:00,IOF,892384,OTHER (SPECIFY),,,,,23,,,,11804,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,727 ATLANTIC AV,,,2012-09-27 00:00:00,IO,896826,INVESTIGATIVE,,,,,23,,,,50576,,,W(White),,,,,,,,,,,MALE,,,,,W(White),,TRESPASSING,,,
11-00091,Boston,MA,26 HORADAN WY,,,2011-06-17 00:00:00,OF,715051,,,,,,25,,,,11447,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,213 BLUE HILL AV,,,2012-05-05 00:00:00,IO,878326,OTHER (SPECIFY),,,,,54,,,,107106,,,B(Black),,,,P,,,REASONABLE SUSPICION,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,866 E BROADWAY,,,2013-05-29 00:00:00,I,918998,,,,,,45,,,,102400,,,W(White),,,,,,,,,,,MALE,,,,YES,W(White),,"209A, VIO. RESTRAINING ORDER",,,
11-00091,Boston,MA,119 E BERKELEY ST,,,2012-03-12 00:00:00,IOF,869604,,,,,,38,,,,9754,,,W(White),,,,P,,,PROBABLE CAUSE,,,,MALE,,,,YES,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,00 DEWEY ST at BLUE HILL AV,,,2012-04-24 00:00:00,IO,875784,INVESTIGATIVE,,,,,21,,,,98663,,,B(Black),,,,P,,,REASONABLE SUSPICION,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,26 LATTIMORE CT,,,2012-02-27 00:00:00,IOF,867766,,,,,,22,,,,11817,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,200 W NEWTON ST,,,2012-08-27 00:00:00,IOFS,900157,INVESTIGATIVE,,,,,46,,,,75636,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,0 BLUE HILL AV at INGLESIDE ST,,,2014-06-10 00:00:00,IOFS,951661,INVESTIGATIVE,,,,,33,,,,126479,,,B(Black),,,,VP,,,PROBABLE CAUSE,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, EUSTIS ST at DEGAUTIER WY,,,2014-08-13 00:00:00,O,960030,MOTOR VEHICLE VIOLATION,,,,,19,,,,116899,,,B(Black),,,,,,,,,,,MALE,,,,NO,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, DORCHESTER AV at LEEDSVILLE S,,,2012-10-17 00:00:00,O,901002,INVESTIGATIVE,,,,,31,,,,11429,,,B(Black),,,,,,,,,,,FEMALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, SOUTHERN AV at TALBOT AV,,,2011-10-21 00:00:00,O,777604,,,,,,24,,,,83788,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA,0 BROADWAY,,,2011-07-23 00:00:00,O,770483,OTHER (SPECIFY),,,,,35,,,,54335,,,B(Black),,,,,,,REASONABLE SUSPICION,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,934 PARKER ST,,,2014-03-24 00:00:00,O,944572,INVESTIGATIVE,,,,,17,,,,126500,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,676 PARKER ST,,,2011-03-19 00:00:00,O,910509,OTHER (SPECIFY),,,,,41,,,,10859,,,H(Hispanic),,,,,,,REASONABLE SUSPICION,,,,MALE,,,,YES,H(Hispanic),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,44 ARBUTUS ST,,,2011-04-01 00:00:00,IOF,705130,INVESTIGATIVE,,,,,22,,,,91925,,,B(Black),,,,,,,,,,,MALE,,,,,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, CEDAR ST at WASHINGTON ST,,,2013-02-02 00:00:00,O,907888,INVESTIGATIVE,,,,,18,,,,106745,,,W(White),,,,V,,,PROBABLE CAUSE,,,,MALE,,,,NO,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,36 CRAWFORD ST,,,2015-05-14 00:00:00,IO,1050237,,,,,,22,,,,116899,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA, HARVARD ST at STANDISH ST,,,2013-03-20 00:00:00,IO,912228,,,,,,30,,,,102353,,,H(Hispanic),,,,,,,,,,,MALE,,,,YES,H(Hispanic),,VAL,,,
11-00091,Boston,MA,61 PRENTISS ST,,,2014-10-31 00:00:00,IOF,969531,INVESTIGATIVE,,,,,32,,,,98663,,,B(Black),,,,P,,,REASONABLE SUSPICION,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,287 CENTRE ST,,,2012-09-04 00:00:00,IO,891735,RADIO CALL,,,,,42,,,,76342,,,H(Hispanic),,,,,,,,,,,MALE,,,,YES,H(Hispanic),,TRESPASSING,,,
