INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_DATE,OFFICER_ASSIGNMENT,LOCATION_DISTRICT,SHIFT,LOCATION_DISTRICT.1,REASON_FOR_FORCE,TYPE_OF_FORCE_USED,SUBJECT_DETAILS,INCIDENT_REASON,SUBJECT_WAS_ARRESTED,CHARGE,SUBJECT_INJURY,SUBJECT_HOSPITALIZATION,SUBJECT_DETAILS.1,OFFICER_INJURY,OFFICER_HOSPITALIZATION,OFFICER_DETAILS,SUBJECT_RACT,SUBJECT_GENDER,SUBJECT_AGE,OFFICER_RACE,OFFICER_GENDER,OFFICER_AGE,OFFICER_YEARS_ON_FORCE,OFFICER_ID
id,occurredDate,division,district,shift,beat,useOfForceReason,officerForceType,disposition,serviceType,arrestMade,arrestCharges,residentInjured,residentHospitalized,residentCondition,officerInjured,officerHospitalized,officerCondition,residentRace,residentSex,residentAge,officerRace,officerSex,officerAge,officerYearsOfService,officerIdentifier
9c7c088255e6080dceebafbae22df7eb,8/23/14 0:00,Operations Division,Northwest District,NW Day Shift,NW Day Shift,Fleeing,Less Lethal-Taser,In compliance,Self-Initiated Activity,FALSE,,FALSE,FALSE,unknwon,FALSE,FALSE,No injuries noted or visible,Black,Male,,White,Male,33,11,11342e9840a7b53dec8c039a6a53c129
670a17d1bc2593b64664b361760d73c5,8/28/14 0:00,Operations Division,Southeast District,SE Middle Shift,,Combative Suspect,"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,,FALSE,FALSE,,FALSE,FALSE,No injuries noted or visible,White,Male,18,White,Male,37,13,547c246b80e932bf70340356c7e207e1
0dbfcea33161568591ee1bce0498b590,8/23/14 0:00,Operations Division,North District,ND Late Tactical Shift,,Resisting Arrest,Physical-Handcuffing,In compliance,Call For Service,TRUE,Battery by Bodily Waste,TRUE,TRUE,Laceration,FALSE,FALSE,No injuries noted or visible,Black,Male,36,White,Male,29,4,a4555ab4905cda5e4a1430a69a0afdcd
2c556058ed11488c1badb2282f6e453c,8/28/14 0:00,Homeland Security Division,Homeland Security Bureau/Tactical,Canine Section,Canine Unit - Late,Non-Compliant,Canine Bite,In compliance,Request For PSD,FALSE,,TRUE,TRUE,Canine Bite,FALSE,FALSE,,Black,Male,40,White,Male,42,17,b1b813ded824994e6af194d0d7297470
f636c99ea09082c1275875903d027ad9,8/24/14 0:00,Operations Division,Southwest District,SW Middle Shift,,Combative Suspect,Physical-Handcuffing,In compliance,Arrest,TRUE,,TRUE,TRUE,Minor Bleeding,TRUE,TRUE,Internal Pain/Discomfort,White,Male,51,White,Male,34,10,d4ec041a3cb4e12c28af6794c1c62ebd
f636c99ea09082c1275875903d027ad9,8/24/14 0:00,Operations Division,Southwest District,SW Middle Shift,,Combative Suspect,"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,,TRUE,TRUE,Minor Bleeding,TRUE,TRUE,,White,Male,51,White,Male,35,12,571eecd41b23b5d162ff508efb7be9f6
0dbfcea33161568591ee1bce0498b590,8/23/14 0:00,Operations Division,North District,ND Late Tactical Shift,,Resisting Arrest,Physical-Handcuffing,In compliance,Call For Service,TRUE,Battery by Bodily Waste,TRUE,TRUE,Laceration,FALSE,FALSE,No injuries noted or visible,Black,Male,36,White,Male,39,11,1d8d80150a7f4d1899449c27e22590f3
fa3179d8c1a76e4ddc6fc9fb4b5802f9,8/26/14 0:00,Operations Division,Northwest District,NW Late Shift,,Fleeing,,In compliance,Self-Initiated Activity,TRUE,Possession of Marijuana/Hash (F),TRUE,TRUE,No injuries noted or visible,TRUE,TRUE,Minor Bleeding,Black,Male,34,Black,Male,39,4,a80b9727def225c7e2781e25c6452998
50440c81dde50f2a86e997c0c1a42173,8/25/14 0:00,Operations Division,Southeast District,SE Late Shift,,Fleeing,Physical-Handcuffing,In compliance,Arrest,TRUE,Resisting Law Enforcement (M),TRUE,FALSE,Internal Pain/Discomfort,FALSE,FALSE,No injuries noted or visible,White,Male,34,White,Male,43,11,120e53ee4dd5d24a7099e8e7b779b312
