LOCATION_LONGITUDE,LOCATION_LATITUDE,INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_DATE,INCIDENT_TIME,SUBJECT_INJURY,TYPE_OF_FORCE_USED,WEAPON_OR_TOOL_USED,SUBJECT_RACE,SUBJECT_GENDER,SUBJECT_AGE,REASON_FOR_FORCE,LOCATION_DISTRICT
X,Y,PoliceUseOfForceID,ResponseDate,,SubjectInjury,ForceTypeDetail,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct
-93.27169927,45.00803595,1,2008-01-01,01:15:31.000Z,-1,BodilyForceType,Push Away,Black,Female,25,Assaulted Officer,2
-93.27169927,45.00803595,2,2008-01-01,01:15:31.000Z,-1,BodilyForceType,Body Weight to Pin,Black,Female,25,Assaulted Officer,2
-93.27169927,45.00803595,3,2008-01-01,01:15:31.000Z,-1,BodilyForceType,Punches,Black,Female,25,Assaulted Officer,2
-93.24701977,44.95974418,4,2008-01-01,01:27:27.000Z,0,BodilyForceType,Joint Lock,White,Male,27,Commission of Crime,3
-93.24701977,44.95974418,5,2008-01-01,01:27:27.000Z,0,BodilyForceType,Body Weight to Pin,White,Male,27,Commission of Crime,3
-93.24701977,44.95974418,6,2008-01-01,01:27:27.000Z,0,TaserDeployed,Firing Darts,White,Male,27,Commission of Crime,3
-93.27314066,44.98080828,7,2008-01-01,01:29:47.000Z,,BodilyForceType,Push Away,White,Male,39,Commission of Crime,1
-93.27314066,44.98080828,8,2008-01-01,01:29:47.000Z,,BodilyForceType,Body Weight to Pin,White,Male,39,Commission of Crime,1
-93.27310907,44.97918668,9,2008-01-01,01:40:02.000Z,,BodilyForceType,Joint Lock,White,Male,42,Tensed,1
-93.27310907,44.97918668,10,2008-01-01,01:40:02.000Z,,BodilyForceType,Body Weight to Pin,White,Male,42,Tensed,1
-93.246076,44.93863095,11,2008-01-01,04:48:26.000Z,0,TaserDeployed,Both,Native American,Male,28,Tensed,3
-93.27964542,44.95463819,12,2008-01-01,17:02:44.000Z,0,TaserDeployed,Firing Darts,Black,Male,45,Verbal Non-Compliance,5
-93.27964542,44.95463819,13,2008-01-01,17:02:44.000Z,0,TaserDeployed,Firing Darts,Black,Male,45,Verbal Non-Compliance,5
-93.30191868,44.99911337,14,2008-01-01,18:40:55.000Z,-1,BodilyForceType,Punches,Black,Male,52,Fled on Foot,4
-93.24990815,44.95464042,15,2008-01-01,21:48:33.000Z,-1,BodilyForceType,Punches,Other / Mixed Race,Female,32,Verbal Non-Compliance,3
