INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_DATE,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,,NUMBER_OF_OFFICERS,OFFICER_RACE,OFFICER_ETHNICITY,OFFICER_GENDER,OFFICER_AGE,OFFICER_YEARS_ON_FORCE,NUMBER_OF_SUBJECTS,SUBJECT_RACE,SUBJECT_GENDER,SUBJECT_AGE,SUBJECT_POSSESSED_WEAPON,SUBJECT_INJURY,SUBJECT_DEATH,OFFICER_INJURY,OFFICER_DEATH,LOCATION_LATITUDE,LOCATION_LONGITUDE
Case #,Date,Address,Incident Type,Number of Officers Involved,Officer Race,Ethnicity,Officer Gender,Officer Age,Officer Tenure,Number of Suspects Involved,Suspect Race,Suspect Gender,Suspect Age,Suspect's Weapon,Suspect Hit,Fatal,Officer Hit,Fatal (Officer),Lat,Lon
16-179658,5/1/16,707 S Orange Blossom Tr,Armed Subject,2,"W, W","N, N","M, M","28, 28","3, 1",1,Black,M,25,Handgun,Yes,Yes,"No, No","No, No",28.53438,-81.397105
16-242039,6/12/16,1912 S. Orange Ave,Active Shooter,11,"W,W, W, W, W, B, W, W, B, W, W","N,N, N, N, N, H, N, N, N, N, H","M, M, M, M, M, M, M, M, M, M, M","29, 39, 48, 46, 34, 45, 47, 44, 47, 38, 31","4, 14, 25, 23, 11, 23, 18, 21, 21, 14, 2",1,Other,M,29,Rifle,Yes,Yes,"Yes, No, No, No, No, No, No, No,No, No, No","No, No, No, No, No, No, No, No, No, No, No",28.519553,-81.376362
16-153523,4/13/16,Bowen DR at Folkstone,Battery,1,W,H,M,34,8,1,White,M,22,Handgun,Yes,No,No,No,28.518123,-81.306245
16-025283,1/18/16,6584 Swissco Dr #734,Well Being Check,2,"W, B","H, N","M, F","41, 37","4, 5",1,White,M,28,Handgun,Yes,Yes,"No, No","No, No",28.469554,-81.299363
16-041504,1/29/16,South St & Bumby Ave,Carjacking,3,"W, W, W","N, N, N","M, M, M","31, 47, 32","7, 18, 9",1,White,F,34,Motor Vehicle,Yes,No,"No, No, No","No, No, No",,
16-021812,1/16/16,5400 North Lane,Traffic Stop,1,W,N,M,33,4,1,Black,M,17,Motor Vehicle,Yes,No,No,No,28.596366,-81.454072
15-291159,7/17/15,1657 Watauga Way,Suspicious Person,1,W,H,M,29,0.9,1,Black,M,23,Hands/ASP,Yes,Yes,No,No,28.522821,-81.335158
14-300535,7/19/14,2 S. Orange Ave,Suspicious Person,5,"W, W, W, W, W","N, N, N, N, N","M, M, M, M, M","34, 39, 47, 32, 32","7, 11, 8, 6, 6",1,Black,M,22,Motor Vehicle,Yes,No,"No, No, No, No, No","No, No, No, No, No",28.541804,-81.379024
14-214123,5/22/14,9493 Candice Ct,Armed Subject,2,"W, B","N, N","M, M","31, 48","7, 25",1,White,M,27,Baseball Bat,Yes,No,"No, No","No, No",28.43085,-81.244894
14-206741,5/18/14,220 N. OBT,Homicide,1,W,N,M,43,9,1,Black,M,24,"Motor Vehicle,Handgun",Yes,No,No,No,28.544814,-81.46241
14-086291,2/24/14,595 W. Church St,Stalking,3,"W, B, W","N, N, N","M, M, M","32, 44, 24","1, 1, 1",1,Black,M,27,Motor Vehicle,No,No,"No, No, No","No, No, No",28.540179,-81.386192
