GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US48113000100,48113000100,"Census Tract 1, Dallas County, Texas",2943,179,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,42,0,13,12,18,0,13,0,13,35,25,12,18,234,137,0,13,88,50,406,180,105,67,1137,165,400,106,368,108,120,64
1400000US48113000201,48113000201,"Census Tract 2.01, Dallas County, Texas",2201,138,8,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,40,0,13,0,13,12,17,6,10,0,13,10,18,75,56,9,14,45,34,314,107,69,43,1023,136,394,94,162,60,48,38
1400000US48113000202,48113000202,"Census Tract 2.02, Dallas County, Texas",2904,176,37,35,0,13,0,13,0,13,13,19,15,21,0,13,0,13,0,13,0,13,38,56,0,13,11,18,0,13,29,29,159,84,33,31,44,34,402,131,172,88,1085,190,613,160,198,77,55,55
1400000US48113000300,48113000300,"Census Tract 3, Dallas County, Texas",3190,343,0,13,0,13,0,13,0,13,0,13,0,13,0,13,36,59,0,13,0,13,0,13,0,13,0,13,24,39,14,23,174,102,69,83,82,67,333,174,155,102,1433,221,590,218,244,108,36,42
1400000US48113000401,48113000401,"Census Tract 4.01, Dallas County, Texas",4272,579,81,55,0,18,0,18,0,18,16,22,23,29,21,28,0,18,405,164,58,66,46,58,359,137,95,86,206,90,86,58,723,203,209,118,75,62,724,228,178,89,525,134,279,118,85,41,78,44
1400000US48113000404,48113000404,"Census Tract 4.04, Dallas County, Texas",2834,289,51,54,0,13,0,13,0,13,0,13,47,76,48,53,6,10,139,90,21,33,9,14,32,31,9,13,69,59,180,98,356,126,50,46,99,58,234,79,163,69,911,190,222,94,96,67,92,61
1400000US48113000405,48113000405,"Census Tract 4.05, Dallas County, Texas",1604,272,164,93,0,13,0,13,0,13,12,14,22,34,54,65,0,13,157,92,33,37,15,17,0,13,43,52,138,77,91,67,347,155,65,59,28,28,89,57,8,13,248,80,57,41,25,23,8,13
1400000US48113000406,48113000406,"Census Tract 4.06, Dallas County, Texas",4981,524,213,138,0,18,25,40,0,18,24,39,55,66,0,18,105,98,198,142,53,67,0,18,299,124,198,141,109,120,254,155,1309,382,123,131,157,110,401,209,153,135,660,207,198,106,126,89,321,223
1400000US48113000500,48113000500,"Census Tract 5, Dallas County, Texas",4223,423,293,220,0,13,0,13,0,13,0,13,10,19,86,97,0,13,0,13,18,33,31,38,2,4,49,55,65,81,15,25,494,172,60,51,79,52,383,164,266,97,1649,336,369,123,309,154,45,43
1400000US48113000601,48113000601,"Census Tract 6.01, Dallas County, Texas",3986,387,0,18,0,18,0,18,0,18,0,18,31,45,60,75,0,18,188,160,64,80,170,168,154,101,126,98,217,147,62,82,664,235,35,48,87,55,652,201,180,106,867,223,281,136,129,94,19,23
1400000US48113000603,48113000603,"Census Tract 6.03, Dallas County, Texas",3669,352,51,56,0,13,0,13,0,13,0,13,0,13,0,13,0,13,57,77,0,13,0,13,0,13,0,13,29,38,14,22,243,132,10,17,26,31,445,148,117,75,1537,233,780,169,281,102,79,76
1400000US48113000605,48113000605,"Census Tract 6.05, Dallas County, Texas",2282,222,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,17,19,32,0,13,0,13,15,23,0,13,0,13,65,38,69,66,165,98,174,77,91,64,1049,193,315,104,257,105,53,41
