GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",3400,170,44951,7895,64.7,5.6,47953,9661,12.6,4.3,24646,15423,0.6,0.8,-,**,14.5,4.4,45098,18304,0.0,0.9,-,**,4.4,2.1,50492,21878,3.2,2.3,45938,22520,8.6,3.1,51932,49512,62.1,6.0,48225,8868,8.3,3.6,22000,11283,38.6,5.2,60341,27047,34.8,5.2,26997,15208,18.4,3.1,32250,14781,1429,185,79896,9736,45.1,8.0,77882,37376,54.9,8.0,80895,13616,73.3,9.4,(X),(X),20.6,8.9,(X),(X),6.2,3.9,(X),(X),1971,217,27250,10963,61.4,7.9,(X),(X),49.1,8.0,(X),(X),12.3,4.7,(X),(X),38.6,7.9,(X),(X),33.0,8.0,(X),(X),5.6,3.1,(X),(X),35.7,(X),(X),(X),37.8,(X),(X),(X),34.2,(X),(X),(X)
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",3572,143,56208,9564,69.4,6.3,61786,12978,5.4,3.1,(X),(X),0.3,0.5,-,**,17.8,4.7,52273,10254,0.0,0.9,-,**,0.9,1.3,-,**,6.2,3.5,76129,27622,3.4,1.0,76774,43862,67.8,6.0,57243,14668,4.3,2.9,26039,4394,33.8,4.6,64333,19891,39.6,4.4,68994,7477,22.3,2.5,43899,8482,2062,196,69870,5475,39.5,5.3,72167,15284,60.5,5.3,69303,5475,62.9,8.5,(X),(X),26.8,8.3,(X),(X),10.3,6.4,(X),(X),1510,197,39500,7971,52.2,9.3,(X),(X),44.8,8.5,(X),(X),7.4,4.7,(X),(X),47.8,9.3,(X),(X),37.3,9.4,(X),(X),10.5,4.8,(X),(X),22.8,(X),(X),(X),30.6,(X),(X),(X),12.2,(X),(X),(X)
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",1087,68,64297,17385,82.0,6.3,63516,18254,6.2,4.9,(X),(X),2.6,3.4,-,**,7.0,3.1,121563,85674,0.9,1.2,-,**,0.0,2.9,-,**,1.4,1.7,-,**,3.9,3.1,97750,48615,78.1,6.8,62109,17014,8.9,6.8,27535,18013,34.1,7.7,98882,31683,41.1,7.7,59417,14770,15.8,3.9,46071,45928,601,88,87604,18079,43.9,7.2,71250,66049,56.1,7.2,88438,11878,69.2,9.1,(X),(X),25.6,9.7,(X),(X),5.2,5.2,(X),(X),486,91,45000,14058,49.6,11.3,43239,13288,36.4,12.0,42019,22698,13.2,8.5,60156,36623,50.4,11.3,54583,29044,34.6,12.8,26154,15718,15.8,9.7,170094,112494,37.0,(X),(X),(X),44.3,(X),(X),(X),28.0,(X),(X),(X)
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",3301,184,32472,2474,64.9,6.5,33923,5745,14.9,5.5,(X),(X),1.2,1.5,-,**,12.7,4.5,43551,8860,0.0,1.0,-,**,0.6,1.0,-,**,5.7,4.1,30933,28925,5.5,3.7,(X),(X),62.4,6.7,33231,4669,5.6,3.6,(X),(X),39.2,6.7,(X),(X),25.7,4.4,(X),(X),29.4,4.8,(X),(X),1161,199,57019,25347,37.7,10.3,(X),(X),62.3,10.3,(X),(X),59.8,13.9,(X),(X),39.1,13.5,(X),(X),1.1,1.9,(X),(X),2140,237,30256,4088,60.8,7.2,(X),(X),50.9,7.6,(X),(X),9.9,5.1,(X),(X),39.2,7.2,(X),(X),32.2,8.1,(X),(X),7.0,4.9,(X),(X),28.2,(X),(X),(X),37.2,(X),(X),(X),23.4,(X),(X),(X)
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",2299,149,62726,5942,84.3,5.1,65068,7767,6.4,5.0,31100,17145,1.2,1.6,-,**,5.7,2.7,(X),(X),0.0,1.4,-,**,0.6,0.9,-,**,1.7,1.6,(X),(X),4.5,2.9,63088,31996,80.4,5.5,65955,9109,0.5,0.9,-,**,34.8,6.2,64926,23509,29.1,4.7,102303,64646,35.5,5.7,44325,11667,931,164,105446,24567,40.0,7.9,121855,49451,60.0,7.9,79375,33767,78.4,11.6,(X),(X),16.9,11.1,(X),(X),4.7,4.4,(X),(X),1368,157,41563,9537,62.8,9.3,(X),(X),53.3,11.0,(X),(X),9.5,7.5,(X),(X),37.2,9.3,(X),(X),21.6,8.2,(X),(X),15.6,6.7,(X),(X),26.8,(X),(X),(X),23.1,(X),(X),(X),26.8,(X),(X),(X)
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",1246,63,125400,18158,88.4,4.4,123889,23740,0.7,1.1,-,**,0.0,2.6,-,**,8.2,3.9,124167,46031,0.0,2.6,-,**,0.0,2.6,-,**,2.6,2.1,129821,91153,0.8,1.2,-,**,88.4,4.4,123889,23740,0.0,2.6,-,**,22.6,4.4,128571,38235,48.6,4.0,155875,27461,28.8,3.3,80417,29190,951,68,145388,11068,31.7,6.5,146563,34439,68.3,6.5,143000,31775,89.6,4.5,(X),(X),6.1,3.7,(X),(X),4.3,2.9,(X),(X),295,77,42679,25718,72.9,12.5,(X),(X),56.9,15.5,(X),(X),15.9,10.2,(X),(X),27.1,12.5,(X),(X),20.7,12.5,(X),(X),6.4,7.3,(X),(X),18.6,(X),(X),(X),17.6,(X),(X),(X),22.0,(X),(X),(X)
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",3345,148,60131,6300,72.6,5.5,62262,8789,3.6,2.4,58529,40106,1.0,0.9,(X),(X),13.0,3.6,84063,28665,0.0,1.0,-,**,6.4,3.9,40276,20248,3.4,2.9,41556,28483,9.1,3.9,41094,6235,70.6,5.6,62190,8618,5.2,3.4,27988,27882,42.2,5.9,67269,22210,32.2,4.8,69194,18300,20.3,3.6,49000,15824,1816,227,68884,12041,43.2,8.8,83287,37673,56.8,8.8,68139,9476,74.2,6.9,(X),(X),12.9,6.8,(X),(X),12.9,5.3,(X),(X),1529,247,40475,4802,49.0,9.2,(X),(X),38.8,9.0,(X),(X),10.2,5.0,(X),(X),51.0,9.2,(X),(X),33.4,7.9,(X),(X),17.6,7.9,(X),(X),27.1,(X),(X),(X),27.6,(X),(X),(X),24.4,(X),(X),(X)
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2169,124,51741,7235,73.2,6.7,54130,13666,6.9,3.8,(X),(X),0.0,1.5,-,**,14.3,5.6,52708,16069,1.0,1.5,-,**,4.0,2.9,(X),(X),0.6,0.9,-,**,8.2,4.3,(X),(X),68.2,7.4,54728,15230,6.0,3.7,(X),(X),39.6,7.3,(X),(X),33.5,7.2,(X),(X),20.9,6.4,(X),(X),1063,182,74917,32329,44.1,11.7,61838,17360,55.9,11.7,86744,20153,68.9,10.5,(X),(X),21.4,9.6,(X),(X),9.8,7.4,(X),(X),1106,186,45700,8491,46.0,11.6,(X),(X),42.3,11.3,(X),(X),3.7,3.5,(X),(X),54.0,11.6,(X),(X),37.5,11.4,(X),(X),16.5,6.7,(X),(X),21.4,(X),(X),(X),24.7,(X),(X),(X),18.2,(X),(X),(X)
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1020,57,87222,15006,89.8,4.2,88056,14145,1.1,1.8,-,**,0.7,1.3,-,**,7.1,4.2,106364,86523,0.0,3.1,-,**,0.0,3.1,-,**,1.4,1.5,-,**,0.0,3.1,-,**,89.8,4.2,88056,14145,3.8,3.6,(X),(X),29.7,6.1,(X),(X),49.3,6.0,(X),(X),17.2,2.9,(X),(X),666,81,118839,14126,34.7,6.6,117902,29926,65.3,6.6,121382,18371,88.9,5.9,120526,12376,9.2,4.7,64250,45352,2.0,2.8,-,**,354,82,38889,19307,65.3,14.0,(X),(X),47.5,13.9,(X),(X),17.8,11.3,(X),(X),34.7,14.0,(X),(X),25.1,13.3,(X),(X),9.6,6.3,(X),(X),15.2,(X),(X),(X),13.7,(X),(X),(X),18.1,(X),(X),(X)
