CRIME_TYPE,INCIDENT_DATE,INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_REASON,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE
CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State
DOMESTIC VIOLENCE,12/6/16 16:12,16-064496,THREAT CRIME:INT:TERRORIZE,04X,1700 MARTIN LUTHER KING JR W,Oakland,CA
STOLEN VEHICLE,12/6/16 7:20,16-064497,VEHICLE THEFT - AUTO,27X,1600 HIGH ST,Oakland,CA
FELONY ASSAULT,12/6/16 19:00,16-064499,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,08X,2800 TELEGRAPH AV,Oakland,CA
NARCOTICS,12/6/16 19:20,16-064501,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,07X,34TH ST & LINDEN ST,Oakland,CA
DISORDERLY CONDUCT,12/6/16 18:48,16-064505,DISORDERLY CONDUCT - ALCOHOL,04X,2100 SAN PABLO AV,Oakland,CA
BURG - AUTO,1/21/17 16:10,17-901320,BURGLARY-AUTO,01X,100 WEBSTER ST,Oakland,CA
VANDALISM,1/21/17 17:00,17-901321,VANDALISM,99X,0,Oakland,CA
GRAND THEFT,1/19/17 7:50,17-901322,THEFT,14X,300 BELLEVUE AV,Oakland,CA
STOLEN VEHICLE,12/2/16 14:00,16-064412,VEHICLE THEFT - AUTO,19X,200 INTERNATIONAL BLVD,Oakland,CA
VANDALISM,12/1/16 15:30,16-917014,VANDALISM,24Y,2600 HIGH ST,Oakland,CA
DOMESTIC VIOLENCE,12/6/16 19:40,16-064508,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,82ND AV & MACARTHUR BLVD,Oakland,CA
VANDALISM,1/14/17 11:00,17-901323,VANDALISM,22X,2800 MOUNTAIN BLVD,Oakland,CA
BURG - RESIDENTIAL,1/12/17 1:00,17-901324,BURGLARY-FORCIBLE ENTRY,25X,4700 FAIR AV,Oakland,CA
PETTY THEFT,1/20/17 23:15,17-901307,THEFT,22Y,3300 ROBINSON DR,Oakland,CA
BURG - RESIDENTIAL,12/28/16 8:15,17-000180,BURGLARY-FORCIBLE ENTRY,25X,4100 TOMPKINS AV,Oakland,CA
PETTY THEFT,1/20/17 23:15,17-901309,THEFT,22Y,3300 ROBINSON DR,Oakland,CA
FRAUD,1/8/17 14:55,17-901411,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,77X,0,Oakland,CA
BURG - AUTO,1/21/17 12:15,17-901310,BURGLARY-AUTO,19X,1900 E 12TH ST,Oakland,CA
VANDALISM,1/21/17 12:00,17-901311,VANDALISM,77X,40TH ST,Oakland,CA
BURG - AUTO,1/20/17 19:00,17-901313,BURGLARY-AUTO,08X,26TH ST & TELEGRAPH AV,Oakland,CA
BURG - AUTO,1/21/17 13:00,17-901314,BURGLARY-AUTO,12Y,5500 LAWTON AV,Oakland,CA
FELONY ASSAULT,12/7/16 12:15,16-065617,EXHIBIT FIREARM,31X,7200 OAKPORT ST,Oakland,CA
VANDALISM,1/21/17 14:00,17-901315,VANDALISM,77X,WAYNE & LAKESHORE,Oakland,CA
VANDALISM,1/21/17 3:05,17-901316,VANDALISM,12Y,400 CAVOUR ST,Oakland,CA
